PRODUCT_ID,DAYS FORWARD COVERAGE
1,28.23
2,9.5
3,4.82
4,6.82
5,7.62
6,2.27
7,9.24
8,3.7
9,12.59
10,4.24
11,9.91
12,5.42
13,31.0
14,4.45
15,3.99
16,2.35
17,2.41
18,4.4
19,3.22
20,10.73
21,6.32
22,1.92
23,13.55
24,31.0
25,1.69
26,12.0
27,3.89
28,3.12
29,8.09
30,13.25
31,19.18
32,7.06
33,3.29
34,5.32
35,16.48
36,14.96
37,5.01
38,2.95
39,4.44
40,4.91
41,7.28
42,13.21
43,5.92
44,2.86
45,15.8
46,4.62
47,4.95
48,21.52
49,2.95
50,11.69
51,5.53
52,11.34
53,29.55
54,3.65
55,1.84
56,4.9
57,5.04
58,8.41
59,11.12
60,4.18
61,4.96
62,6.92
63,2.88
64,6.37
65,2.86
66,4.76
67,4.71
68,2.33
69,3.85
70,5.37
71,15.75
72,6.14
73,3.49
74,1.99
75,3.15
76,2.97
77,5.93
78,1.87
79,7.64
80,2.14
81,5.15
82,6.25
83,8.3
84,2.17
85,6.93
86,16.7
87,2.07
88,8.76
89,5.68
90,16.37
91,4.64
92,6.27
93,2.97
94,2.72
95,10.43
96,1.99
97,3.51
98,8.53
99,6.12
100,31.0
101,4.36
102,4.84
103,1.95
104,3.53
105,17.02
106,2.52
107,30.78
108,4.96
109,3.86
110,11.68
111,31.0
112,3.06
113,3.15
114,3.4
115,3.91
116,17.38
117,31.0
118,3.51
119,4.28
120,3.13
121,4.53
122,2.11
123,9.85
124,6.45
125,2.38
126,5.32
127,17.03
128,20.8
129,2.52
130,3.95
131,8.8
132,4.76
133,8.96
134,4.42
135,4.34
136,4.3
137,8.78
138,3.12
139,16.93
140,18.27
141,8.9
142,5.55
143,8.6
144,4.95
145,8.48
146,1.44
147,6.79
148,4.3
149,4.57
150,7.55
151,19.59
152,13.33
153,11.56
154,31.0
155,7.39
156,10.49
157,28.29
158,2.46
159,9.36
160,3.96
161,3.04
162,4.46
163,3.58
164,7.32
165,9.0
166,8.1
167,8.01
168,2.79
169,5.5
170,31.0
171,6.59
172,4.57
173,5.53
174,8.12
175,3.44
176,16.4
177,2.53
178,8.2
179,16.73
180,3.17
181,12.31
182,7.0
183,2.92
184,30.0
185,4.77
186,2.92
187,22.49
188,3.81
189,4.77
190,23.16
191,3.85
192,2.29
193,6.55
194,8.33
195,8.87
196,31.0
197,9.85
198,2.47
199,2.43
200,2.16
201,22.75
202,6.16
203,16.33
204,4.3
205,2.29
206,3.25
207,2.02
208,15.16
209,19.67
210,2.84
211,4.06
212,2.67
213,15.41
214,6.76
215,1.5
216,6.86
217,3.22
218,14.88
219,4.79
220,2.16
221,5.0
222,15.36
223,27.89
224,12.86
225,27.67
226,5.11
227,2.11
228,5.35
229,31.0
230,5.03
231,12.54
232,3.44
233,5.29
234,3.13
235,4.22
236,4.41
237,4.24
238,1.74
239,16.28
240,5.69
241,24.12
242,9.27
243,9.01
244,2.43
245,8.63
246,13.4
247,21.71
248,5.85
249,8.09
250,3.85
251,3.96
252,6.57
253,8.97
254,1.61
255,2.15
256,6.18
257,31.0
258,6.59
259,7.23
260,31.0
261,31.0
262,16.67
263,4.42
264,4.99
265,4.36
266,13.96
267,3.83
268,3.61
269,3.34
270,20.95
271,3.93
272,3.52
273,3.43
274,4.52
275,4.68
276,2.46
277,10.52
278,16.17
279,12.8
280,9.34
281,9.24
282,6.93
283,5.15
284,2.89
285,1.82
286,14.61
287,6.84
288,2.61
289,31.0
290,8.54
291,5.43
292,4.23
293,1.8
294,4.21
295,3.42
296,4.56
297,5.29
298,9.89
299,3.62
300,2.98
301,3.72
302,3.7
303,4.59
304,4.44
305,17.32
306,12.98
307,8.47
308,2.11
309,5.52
310,17.26
311,8.66
312,9.72
313,3.42
314,11.35
315,20.67
316,16.24
317,9.7
318,2.37
319,12.68
320,5.09
321,19.88
322,3.69
323,31.0
324,5.45
325,2.73
326,31.0
327,13.22
328,4.17
329,4.32
330,5.16
331,12.57
332,3.2
333,6.71
334,6.81
335,3.6
336,2.1
337,3.56
338,31.0
339,13.29
340,8.77
341,25.05
342,5.08
343,5.54
344,1.89
345,9.43
346,2.43
347,22.74
348,2.5
349,10.12
350,13.15
351,19.59
352,10.03
353,9.27
354,4.18
355,3.67
356,2.83
357,3.93
358,6.79
359,2.65
360,10.44
361,16.73
362,1.77
363,23.82
364,3.75
365,2.89
366,5.11
367,3.19
368,2.0
369,31.0
370,15.85
371,3.31
372,14.49
373,3.76
374,4.86
375,6.79
376,22.28
377,7.34
378,4.91
379,6.33
380,9.17
381,20.97
382,2.69
383,18.56
384,2.33
385,2.2
386,1.82
387,14.79
388,3.26
389,1.76
390,8.36
391,7.54
392,31.0
393,31.0
394,23.86
395,28.06
396,4.45
397,6.81
398,31.0
399,1.91
400,21.94
401,14.32
402,5.78
403,7.63
404,2.73
405,3.29
406,10.42
407,6.19
408,6.15
409,10.03
410,5.13
411,3.87
412,11.65
413,2.93
414,3.23
415,7.86
416,2.02
417,2.92
418,7.66
419,2.82
420,16.71
421,2.44
422,5.58
423,8.75
424,2.5
425,7.54
426,2.15
427,1.98
428,3.52
429,2.06
430,6.08
431,6.87
432,31.0
433,10.96
434,15.59
435,10.6
436,31.0
437,5.96
438,18.7
439,11.19
440,2.66
441,4.07
442,8.0
443,20.0
444,7.88
445,7.35
446,5.13
447,16.65
448,2.49
449,8.73
450,6.93
451,3.75
452,12.43
453,11.36
454,3.72
455,1.55
456,1.77
457,4.47
458,5.05
459,14.35
460,2.33
461,2.42
462,11.97
463,4.39
464,3.47
465,11.48
466,3.79
467,4.2
468,9.48
469,3.59
470,2.01
471,7.55
472,4.12
473,12.23
474,2.39
475,2.78
476,3.13
477,30.38
478,6.83
479,31.0
480,3.12
481,31.0
482,7.72
483,2.86
484,8.47
485,3.11
486,5.76
487,6.23
488,2.04
489,5.46
490,3.4
491,14.47
492,24.04
493,5.49
494,9.23
495,3.93
496,18.39
497,4.4
498,9.14
499,8.04
500,4.6
501,10.96
502,24.0
503,9.99
504,6.64
505,5.74
506,11.44
507,2.42
508,5.34
509,29.94
510,13.62
511,2.31
512,23.83
513,5.69
514,9.12
515,31.0
516,3.38
517,10.18
518,22.84
519,7.73
520,9.73
521,6.95
522,13.83
523,1.56
524,11.83
525,13.11
526,4.66
527,3.23
528,4.66
529,4.92
530,31.0
531,9.98
532,31.0
533,22.15
534,3.77
535,3.24
536,4.82
537,3.12
538,2.96
539,6.66
540,2.71
541,27.41
542,3.46
543,31.0
544,31.0
545,11.83
546,11.01
547,1.99
548,11.2
549,13.3
550,15.1
551,11.97
552,5.17
553,4.21
554,4.09
555,11.12
556,12.49
557,5.9
558,2.57
559,2.23
560,30.21
561,11.03
562,6.88
563,3.69
564,2.92
565,15.38
566,9.66
567,2.56
568,6.21
569,8.97
570,3.17
571,4.34
572,5.26
573,19.37
574,7.92
575,7.6
576,9.97
577,5.49
578,3.55
579,31.0
580,6.9
581,10.62
582,5.83
583,9.57
584,10.0
585,5.9
586,10.07
587,3.43
588,5.54
589,4.34
590,8.71
591,4.15
592,14.05
593,4.83
594,31.0
595,21.87
596,18.31
597,4.2
598,4.37
599,19.46
600,20.46
601,8.86
602,4.25
603,2.53
604,1.37
605,2.89
606,3.21
607,8.15
608,4.15
609,6.03
610,5.84
611,2.7
612,6.43
613,6.86
614,3.06
615,4.72
616,8.66
617,31.0
618,12.95
619,3.7
620,5.63
621,6.16
622,5.15
623,3.65
624,9.06
625,14.94
626,16.79
627,4.78
628,9.32
629,9.32
630,3.23
631,4.3
632,2.76
633,6.05
634,3.94
635,2.44
636,15.32
637,4.81
638,7.08
639,9.01
640,5.22
641,4.74
642,8.78
643,31.0
644,4.64
645,2.59
646,3.19
647,31.0
648,8.98
649,1.83
650,4.53
651,4.08
652,31.0
653,2.65
654,9.26
655,5.0
656,5.29
657,2.77
658,4.5
659,16.84
660,2.28
661,23.16
662,2.78
663,3.38
664,5.67
665,31.0
666,2.33
667,4.8
668,14.1
669,31.0
670,3.53
671,14.97
672,6.0
673,11.34
674,2.52
675,31.0
676,31.0
677,2.84
678,5.89
679,3.05
680,3.47
681,2.36
682,2.14
683,31.0
684,3.78
685,31.0
686,31.0
687,3.16
688,9.92
689,6.21
690,4.65
691,9.98
692,4.56
693,2.11
694,12.85
695,5.51
696,2.33
697,3.46
698,24.54
699,31.0
700,2.09
701,26.76
702,15.32
703,3.55
704,5.2
705,4.88
706,3.26
707,5.72
708,5.06
709,13.5
710,7.87
711,11.45
712,2.91
713,2.5
714,4.02
715,2.24
716,6.19
717,3.37
718,5.84
719,9.93
720,3.58
721,31.0
722,18.13
723,2.23
724,7.23
725,4.85
726,22.0
727,4.69
728,3.54
729,7.62
730,31.0
731,3.14
732,31.0
733,22.0
734,6.53
735,3.8
736,2.95
737,5.31
738,3.56
739,3.67
740,6.48
741,5.37
742,6.87
743,4.11
744,5.33
745,4.9
746,7.15
747,5.7
748,5.57
749,4.13
750,2.84
751,30.9
752,31.0
753,2.59
754,11.21
755,15.06
756,21.97
757,4.53
758,22.76
759,10.43
760,15.56
761,14.74
762,5.6
763,8.62
764,27.83
765,11.42
766,10.31
767,13.36
768,7.91
769,9.44
770,15.47
771,3.44
772,5.98
773,8.1
774,18.37
775,4.14
776,12.67
777,31.0
778,28.67
779,2.78
780,18.32
781,9.07
782,6.51
