PRODUCT_ID,DAYS FORWARD COVERAGE
1,6.47
2,5.88
3,9.17
4,8.23
5,6.92
6,13.35
7,17.8
8,11.61
9,9.61
10,7.28
11,7.88
12,22.9
13,11.39
14,20.44
15,9.69
16,13.21
17,24.69
18,17.14
19,11.16
20,22.3
21,24.28
22,5.78
23,9.02
24,8.17
25,5.66
26,16.12
27,5.38
28,7.29
29,20.76
30,7.0
31,9.03
32,22.12
33,9.54
34,11.46
35,12.3
36,12.3
37,31.0
38,16.41
39,7.17
40,8.28
41,10.41
42,9.7
43,7.69
44,10.03
45,4.42
46,14.1
47,13.11
48,11.68
49,8.79
50,9.0
51,6.58
52,9.28
53,7.9
54,12.24
55,24.0
56,3.67
57,9.05
58,10.46
59,7.59
60,13.1
61,14.0
62,19.89
63,7.33
64,12.21
65,10.09
66,10.29
67,9.9
68,5.34
69,17.13
70,21.9
71,4.71
72,4.63
73,10.0
74,11.53
75,8.56
76,9.85
77,31.0
78,4.3
79,6.88
80,7.61
81,11.81
82,17.45
83,24.55
84,12.15
85,4.83
86,25.36
87,9.85
88,11.06
89,21.0
90,6.15
91,19.62
92,9.92
93,25.68
94,11.55
95,8.93
96,13.42
97,30.94
98,31.0
99,7.38
100,16.5
101,14.86
102,12.03
103,29.29
104,9.02
105,12.17
106,31.0
107,9.11
108,10.11
109,6.85
110,10.83
111,18.32
112,11.35
113,15.5
114,31.0
115,7.09
116,7.24
117,16.2
118,7.82
119,12.5
120,7.63
121,15.27
122,13.67
123,25.64
124,10.37
125,8.64
126,29.33
127,14.32
128,11.7
129,23.0
130,15.22
131,25.43
132,26.56
133,7.68
134,8.14
135,6.89
136,20.4
137,11.52
138,12.61
139,5.98
140,6.97
141,12.92
142,8.12
143,7.87
144,8.38
145,8.65
146,6.92
147,7.6
148,8.1
149,6.27
150,31.0
151,6.97
152,18.17
153,5.23
154,31.0
155,7.32
156,7.62
157,9.96
158,12.1
159,12.45
160,7.27
161,19.0
162,4.32
163,5.75
164,20.5
165,5.4
166,22.6
167,7.96
168,5.68
169,5.78
170,6.5
171,7.0
172,6.42
173,4.59
174,7.62
175,7.88
176,7.04
177,7.28
178,8.46
179,10.05
180,8.6
181,12.86
182,5.18
183,14.26
184,9.68
185,20.44
186,5.61
187,13.36
188,10.0
189,13.92
190,17.41
191,13.97
192,5.83
193,24.47
194,7.13
195,7.91
196,10.46
197,31.0
198,23.29
199,7.45
200,5.71
201,17.44
202,5.04
203,11.83
204,10.08
205,5.32
206,8.72
207,16.04
208,8.0
209,30.38
210,26.33
211,5.7
212,5.72
213,11.28
214,13.29
215,31.0
216,8.62
217,13.27
218,10.77
219,5.22
220,6.55
221,7.26
222,13.6
223,15.33
224,8.72
225,6.21
226,8.38
227,8.64
228,8.71
229,9.77
230,21.29
231,18.41
232,12.35
233,13.26
234,10.65
235,8.68
236,13.52
237,9.7
238,19.5
239,31.0
240,20.12
241,26.5
242,4.89
243,13.64
244,19.0
245,6.29
246,29.07
247,13.73
248,7.81
249,11.81
250,14.04
251,12.36
252,12.0
253,17.37
254,10.18
255,15.42
256,6.02
257,10.05
258,14.93
259,8.24
260,17.43
261,10.83
262,11.0
263,7.72
264,7.68
265,9.34
266,9.05
267,18.36
268,8.8
269,21.59
270,19.9
271,6.03
272,13.02
273,31.0
274,6.87
275,18.8
276,21.22
277,7.03
278,5.07
279,11.09
280,11.88
281,9.05
282,10.08
283,6.35
284,12.21
285,10.54
286,6.37
287,11.49
288,24.18
289,10.12
290,16.69
291,13.23
292,17.38
293,16.54
294,10.83
295,30.5
296,6.16
297,26.82
298,26.33
299,24.15
300,17.33
301,16.59
302,24.57
303,12.63
304,7.82
305,23.5
306,23.89
307,7.64
308,10.93
309,7.26
310,7.39
311,21.89
312,8.03
313,20.8
314,12.03
315,6.62
316,7.1
317,12.95
318,9.38
319,14.17
320,11.12
321,10.45
322,8.81
323,6.63
324,13.83
325,7.14
326,10.73
327,12.04
328,7.21
329,12.65
330,7.9
331,21.36
332,5.52
333,6.37
334,8.94
335,31.0
336,7.72
337,8.78
338,11.5
339,5.67
340,10.53
341,9.03
342,11.08
343,6.25
344,11.21
345,8.47
346,10.29
347,31.0
348,7.03
349,16.89
350,15.0
351,5.84
352,31.0
353,8.14
354,8.29
355,8.71
356,10.64
357,17.33
358,13.27
359,6.88
360,18.5
361,17.0
362,8.42
363,8.18
364,5.97
365,7.47
366,9.75
367,5.0
368,6.51
369,31.0
370,11.5
371,5.55
372,5.91
373,7.67
374,6.28
375,7.0
376,6.87
377,7.0
378,24.16
379,6.95
380,9.63
381,16.85
382,13.8
383,10.17
384,6.72
385,10.7
386,6.51
387,15.17
388,5.31
389,15.19
390,28.8
391,9.81
392,17.0
393,14.15
394,5.53
395,7.72
396,14.55
397,8.91
398,9.65
399,5.8
400,19.12
401,8.22
402,17.21
403,8.68
404,6.95
405,6.03
406,11.26
407,10.0
408,9.0
409,7.42
410,8.76
411,7.69
412,13.32
413,8.82
414,15.53
415,7.95
416,5.75
417,10.42
418,12.48
419,7.69
420,7.68
421,9.74
422,8.7
423,6.84
424,20.38
425,26.5
